Rk,Player,Twitter
1,Alaa Abdelnaby\abdelal01,alaatweets
2,Kareem Abdul-Jabbar\abdulka01,kaj33
3,Shareef Abdur-Rahim\abdursh01,ShareefAbdur_R
4,Thomas Abercrombie\abercth01,tomabo10
5,Álex Abrines\abrinal01,alexabrines
6,Tim Abromaitis\abromti01,timabro21
7,Precious Achiuwa\achiupr01,PreciousAchiuwa
8,Quincy Acy\acyqu01,QuincyAcy
9,Jalen Adams\adamsja02,ja4hunnid
10,Jaylen Adams\adamsja01,10jadams
11,Jordan Adams\adamsjo01,jordanadams1231
12,Steven Adams\adamsst01,RealStevenAdams
13,Bam Adebayo\adebaba01,Bam1of1
14,Deng Adel\adelde01,Foreverdeng
15,Jeff Adrien\adrieje01,Adrien4
16,Maurice Ager\agerma01,moeager
17,C.J. Aiken\aikencj01,cjaiken01
18,Danny Ainge\aingeda01,danielrainge
19,Alexis Ajinça\ajincal01,AjincaAlexis42
20,DeVaughn Akoon-Purcell\akoonde01,dap44_
21,Cenk Akyol\akyolce01,cenkakyol
22,Furkan Aldemir\aldemfu01,furkanaldemir19
23,Cole Aldrich\aldrico01,colea45
24,LaMarcus Aldridge\aldrila01,aldridge_12
25,Cliff Alexander\alexacl01,CAlexander
26,Kyle Alexander\alexaky01,KyleJamal4
27,Ty-Shon Alexander\alexaty01,5Tyshon
28,Nickeil Alexander-Walker\alexani01,NickeilAW
29,Bryce Alford\alforbr01,balford20
30,Rawle Alkins\alkinra01,Iam_RawleAlkins
31,Grayson Allen\allengr01,GraysonJAllen
32,Jarrett Allen\allenja01,_bigjayy_
33,Kadeem Allen\allenka01,AllenKadeem
34,Lavoy Allen\allenla01,chefVOYardee
35,Malik Allen\allenma01,THEleekAllen30
36,Ray Allen\allenra02,greenRAYn20
37,Tony Allen\allento01,aa000G9
38,Morris Almond\almonmo01,FreeMoAlmond
39,John Amaechi\amaecjo01,JohnAmaechi
40,Al-Farouq Aminu\aminual01,farouq1
41,Alade Aminu\aminual02,Aminu_34
42,Lou Amundson\amundlo01,LouAmundson17
43,Alan Anderson\anderal01,ASqared06
44,C.J. Anderson\andercj01,cjanderson_23
45,Justin Anderson\anderju01,JusAnderson1
46,Kenny Anderson\anderke01,chibbs_1
47,Kyle Anderson\anderky01,KyleAnderson5
48,Andrew Andrews\andrean01,Drew_squared
49,Zach Andrews\andreza01,21zachandrews
50,Braian Angola-Rodas\angolbr01,Angola2411
51,Ike Anigbogu\anigbik01,IkePostrs_
52,O.D. Anosike\anosiod01,Anosike_1
53,Giannis Antetokounmpo\antetgi01,Giannis_An34
54,Kostas Antetokounmpo\antetko01,Kostas_ante13
55,Thanasis Antetokounmpo\antetth01,Thanasis_ante43
56,Carmelo Anthony\anthoca01,carmeloanthony
57,Cole Anthony\anthoco01,The_ColeAnthony
58,Greg Anthony\anthogr01,GregAnthony50
59,OG Anunoby\anunoog01,OAnunoby
60,Robert Archibald\archiro01,RobertArchibald
61,Ryan Arcidiacono\arcidry01,RyArch15
62,Gilbert Arenas\arenagi01,agentzeroshow
63,Trevor Ariza\arizatr01,TrevorAriza
64,B.J. Armstrong\armstbj01,bjarmstrong
65,Darrell Arthur\arthuda01,DarrellArthur00
66,Jamel Artis\artisja01,melartis1
67,Olu Ashaolu\ashaool01,O_Ash
68,Brandon Ashley\ashlebr01,_Bash21
69,Ömer Aşık\asikom01,AsikOmer
70,Eric Atkins\atkiner01,EAtkins0
71,Zach Auguste\augusza01,ZachEliAuguste
72,D.J. Augustin\augusdj01,augustinDj14
73,Brandon Austin\austibr02,Jumpman_BA
74,Deni Avdija\avdijde01,deniavdia8
75,J.J. Avila\avilajj01,NotLilJay
76,Gustavo Ayón\ayongu01,Gustavo_Ayon15
77,Deandre Ayton\aytonde01,DeandreAyton
78,Kelenna Azubuike\azubuke01,KAzubuike7
79,Udoka Azubuike\azubuud01,TimUdoka
80,Yudai Baba\babayu01,babaseyo
81,Luke Babbitt\babbilu01,Realbabbitt08
82,Jordan Bachynski\bachyjo01,BLOCKchynski
83,Dwayne Bacon\bacondw01,BaconDwayne1000
84,Marvin Bagley\baglema01,MB3FIVE
85,Ron Baker\bakerro01,RonBaker31
86,Gracin Bakumanya\bakumgr01,gbakumanya
87,Kamar Baldwin\baldwka01,kamar3baldwin
88,Wade Baldwin\baldwwa01,The_Fourth_Wade
89,Renaldo Balkman\balkmre01,R_Balkman32
90,LaMelo Ball\ballla01,MELOD1P
91,LiAngelo Ball\ballli01,LiAngeloBall
92,Lonzo Ball\balllo01,ZO2_
93,Mohamed Bamba\bambamo01,TheRealMoBamba
94,Desmond Bane\banede01,DBane0625
95,Cat Barber\barbeca01,catbarber1994
96,Leandro Barbosa\barbole01,TheBlurBarbosa
97,J.J. Barea\bareajo01,jjbareapr
98,Jaylen Barford\barfoja01,Jbarford1
99,Andrea Bargnani\bargnan01,AndreaBargnani
100,Harrison Barnes\barneha02,hbarnes
101,Matt Barnes\barnema02,Matt_Barnes22
102,Jordan Barnett\barnejo01,JBounce33
103,Kyle Barone\baronky01,KB33_
104,RJ Barrett\barrerj01,RjBarrett6
105,Earl Barron\barroea01,earldee
106,Brent Barry\barrybr01,Barryathree
107,Canyon Barry\barryca01,cbarry719
108,Rick Barry\barryri01,Rick24Barry
109,Will Barton\bartowi01,WillTheThrillB5
110,Keita Bates-Diop\bateske01,KBD_33
111,Shane Battier\battish01,ShaneBattier
112,Nicolas Batum\batumni01,nicolas88batum
113,Jerryd Bayless\bayleje01,jerrydbayless
114,Elgin Baylor\bayloel01,elginbaylor
115,Aron Baynes\baynear01,aronbaynes
116,Kent Bazemore\bazemke01,24Bazemore
117,Darius Bazley\bazleda01,BazleyDarius
118,V.J. Beachem\beachvj01,VJBeachem
119,Bradley Beal\bealbr01,RealDealBeal23
120,Malik Beasley\beaslma01,Mbeasy5
121,Michael Beasley\beaslmi01,Michael8easley
122,Beau Beech\beechbe01,beaubeech02
123,Mirza Begić\begicmi01,BegicMirzaBM
124,Marco Belinelli\belinma01,marcobelinelli
125,Charlie Bell\bellch01,flintstone14
126,Jordan Bell\belljo01,1jordanbell
127,Troy Bell\belltr01,TroyBellS2P
128,DeAndre' Bembry\bembrde01,fearthefro95
129,Dragan Bender\bendedr01,DBender03
130,Jonathan Bender\bendejo01,jonathanbender9
131,Anthony Bennett\bennean01,AnthonyBennett
132,Keith Benson\bensoke02,RealKITO
133,Ben Bentil\bentibe01,benbentil
134,Jared Berggren\berggja01,jberggren40
135,Davion Berry\berryda01,DavionBerry
136,Joel Berry\berryjo01,JoelBerryII
137,Dairis Bertāns\bertada02,DairisBertans
138,Dāvis Bertāns\bertada01,DBertans_42
139,Javon Bess\bessja01,Jb_Bizzle
140,Patrick Beverley\beverpa01,patbev21
141,Saddiq Bey\beysa01,_Beyyy15
142,Tyler Bey\beyty01,Tbeeyy
143,Justin Bibbs\bibbsju01,JustinBibbs10
144,Kavell Bigby-Williams\bigbyka01,Kavell6ft11
145,Chauncey Billups\billuch01,1MrBigShot
146,Khem Birch\birchkh01,Khem_Birch
147,Jabari Bird\birdja01,Jabari_Bird
148,Goga Bitadze\bitadgo01,GogaBiitadze
149,Bismack Biyombo\biyombi01,bismackbiyombo
150,Nemanja Bjelica\bjeline01,NemanjaBjelica
151,Tarik Black\blackta01,TarikBlack25
152,James Blackmon\blackja02,JBlackmon2
153,DeJuan Blair\blairde01,DeJuan45
154,Steve Blake\blakest01,SteveBlake5
155,Antonio Blakeney\blakean01,blakeney96
156,Andray Blatche\blatcan01,drayblatche
157,Eric Bledsoe\bledser01,EBled2
158,Keljin Blevins\blevike01,KBlevs02
159,Jaron Blossomgame\blossja01,JaronBgame
160,Vander Blue\blueva01,veezy_SQ
161,Trevon Bluiett\bluietr01,TrevonBluiett
162,Ryan Boatright\boatrry01,Ryanboatright11
163,Bennie Boatwright\boatwbe01,benniebuckets__
164,Bogdan Bogdanović\bogdabo01,LeaderOfHorde
165,Bojan Bogdanović\bogdabo02,44Bojan
166,Muggsy Bogues\boguemu01,MuggsyBogues
167,Andrew Bogut\bogutan01,andrewbogut
168,John Bohannon\bohanjo01,johnbohannon21
169,Bol Bol\bolbo01,BolBol
170,Jonah Bolden\boldejo01,Jonahbolden43
171,Marques Bolden\boldema01,MarquesB__
172,Leandro Bolmaro\bolmale01,BolmaroLeandro
173,Joel Bolomboy\bolomjo01,Bolomboy21
174,Tim Bond\bondti01,itsbout_TIM
175,Jordan Bone\bonejo01,JordanBone23
176,Isaac Bonga\bongais01,isaacbonga
177,Matt Bonner\bonnema01,MattBonner_SAS
178,Devin Booker\bookede01,DevinBook
179,Devin Booker\bookede02,DevinBooker31
180,Trevor Booker\booketr01,35_Fitz
181,Phil Booth\boothph01,Philb_5
182,Carlos Boozer\boozeca01,MisterCbooz
183,Chris Bosh\boshch01,chrisbosh
184,Chris Boucher\bouchch01,chrisboucher
185,Jordan Bowden\bowdejo01,_iamjbow
186,Brian Bowen\bowenbr02,tugs_
187,Bruce Bowen\bowenbr01,Bowen12
188,Ryan Bowen\bowenry01,rybo40
189,Laurence Bowers\bowerla01,LBowers_21
190,Ky Bowman\bowmaky01,KyranBowman
191,Craig Brackins\brackcr01,Cbrackins_33
192,Avery Bradley\bradlav01,Avery0Bradley
193,Tony Bradley\bradlto01,ToBrad1
194,Jarrell Brantley\brantja01,jstuntbrantley
195,Taylor Braun\braunta01,taylorbraun2324
196,Ignas Brazdeikis\brazdig01,_iggy_braz
197,Corey Brewer\breweco01,TheCoreyBrewer
198,Ronnie Brewer\brewero02,RonnieBrewerJr
199,Primož Brezec\brezepr01,Primozbrezec
200,Mikal Bridges\bridgmi01,mikal_bridges
201,Miles Bridges\bridgmi02,MilesBridges
202,Amida Brimah\brimaam01,amidabrimah
203,Isaiah Briscoe\briscis01,ZayBriscoe
204,Oshae Brissett\brissos01,Obrissy
205,Jon Brockman\brockjo01,MrJonBrockman
206,Ryan Broekhoff\broekry01,RBroekhoff45
207,Malcolm Brogdon\brogdma01,MalcolmBrogdon7
208,Aaron Brooks\brookaa01,Thirty2zero
209,Armoni Brooks\brookar01,snipabrooks_
210,Dillon Brooks\brookdi01,dillonbrooks24
211,MarShon Brooks\brookma01,Marshon2
212,Alec Brown\brownal01,AlecBrown21
213,Anthony Brown\brownan02,TwoShotOne
214,Bobby Brown\brownbo02,BBROWNLAU
215,Bruce Brown\brownbr01,BruceBrown11
216,Bryce Brown\brownbr02,Bwb_2
217,Charlie Brown\brownch02,charleskbrownjr
218,Dee Brown\brownde03,deebrown11
219,Derrick Brown\brownde04,D_Brown4
220,Jabari Brown\brownja01,Bari_BrownIDF
221,Jaylen Brown\brownja02,FCHWPO
222,Lorenzo Brown\brownlo01,Zo_Brown
223,Markel Brown\brownma02,iMarkelBrown22
224,Moses Brown\brownmo01,MosesBrown_
225,Sterling Brown\brownst02,thatnegus_sb
226,Troy Brown\browntr01,Troy_Brown33
227,Mike Bruesewitz\bruesmi01,mbruesewitz31
228,Jalen Brunson\brunsja01,jalenbrunson1
229,Nicolás Brussino\brussni01,nicoobrussino
230,Elijah Bryant\bryanel01,Elijah_Bryant3
231,Kobe Bryant\bryanko01,kobebryant
232,Thomas Bryant\bryanth01,nolimittb31
233,Shaq Buchanan\buchash01,ShaqLeroy
234,Chase Budinger\budinch01,CBudinger
235,Reggie Bullock\bullore01,ReggieBullock35
236,Trey Burke\burketr01,TreyBurke
237,Alec Burks\burksal01,AlecBurks10
238,Antonio Burks\burksan01,antonioburks
239,Scott Burrell\burresc01,sburrell24
240,Deonte Burton\burtode01,DeonteBurton
241,Deonte Burton\burtode02,DeeBurton30
242,Caron Butler\butleca01,realtuffjuice
243,Jimmy Butler\butleji01,JimmyButler
244,Rasual Butler\butlera01,RasualButler45
245,Dwight Buycks\buyckdw01,BizzleWorld20
246,Bruno Caboclo\cabocbr01,Bruno_Caboclo
247,Devontae Cacok\cacokde01,Vontae__15
248,Junior Cadougan\cadouju01,JRwontLOSE
249,Michael Cage\cagemi01,Exhoopsmc
250,Nick Calathes\calatni01,Nick_Calathes15
251,José Calderón\caldejo01,JmCalderon
252,Kentavious Caldwell-Pope\caldwke01,CaldwellPope
253,Perrion Callandret\callape01,Perriontf
254,Marcus Camby\cambyma01,MarcusCamby23
255,Facundo Campazzo\campafa01,facucampazzo
256,Isaiah Canaan\canaais01,SiP03
257,Vlatko Čančar\cancavl01,CancarVlatko
258,Devin Cannady\cannade01,devin_cannady3
259,Clint Capela\capelca01,CapelaClint
260,Derrick Caracter\caracde01,RebuildCaracter
261,Brian Cardinal\cardibr01,BrianCardinal
262,Vernon Carey\careyve01,vernoncarey22
263,Jackie Carmichael\carmija01,Jackie_C32
264,Antoine Carr\carran01,AntoineCarr55
265,Austin Carr\carrau01,MrCavalier34
266,Phillip Carr\carrph01,PhilippeChow_
267,Tony Carr\carrto01,Tone10Carr
268,DeMarre Carroll\carrode01,DeMarreCarroll1
269,Jeffrey Carroll\carroje01,J30Carroll
270,Matt Carroll\carroma01,matt13carroll
271,Jevon Carter\carteje01,nextlevel_03
272,Sampson Carter\cartesa01,mrvincecarter15
273,Vince Carter\cartevi01,mrvincecarter15
274,Wendell Carter\cartewe01,wendellcarter34
275,Michael Carter-Williams\cartemi01,mcarterwilliams
276,Alex Caruso\carusal01,ACFresh21
277,Omri Casspi\casspom01,Casspi18
278,Willie Cauley-Stein\caulewi01,THEwillieCS15
279,Troy Caupain\caupatr01,caupain10
280,Tyler Cavanaugh\cavanty01,tycav34
281,Ahmad Caver\caverah01,MAHDTHAGOD
282,Cedric Ceballos\cebalce01,cedceballos
283,Mario Chalmers\chalmma01,mchalmers15
284,Tyson Chandler\chandty01,tysonchandler
285,Wilson Chandler\chandwi01,wilsonchandler
286,Clint Chapman\chapmcl01,ChapFTW
287,Rex Chapman\chapmre01,RexChapman
288,Joe Chealey\chealjo01,joe_chealey
289,Zylan Cheatham\cheatzy01,1KingZ4
290,Josh Childress\childjo01,JChillin
291,Yoeli Childs\childyo01,yochilds22
292,Chris Chiozza\chiozch01,Chiozza11
293,Marquese Chriss\chrisma01,quese
294,Doug Christie\chrisdo01,TheDougChristie
295,Dionte Christmas\chrisdi01,Dchristmas22
296,Rakeem Christmas\chrisra01,R_Xmas25
297,Semaj Christon\chrisse01,SemajChriston
298,Keith Clanton\clantke01,Im_Keithclanton
299,Gary Clark\clarkga01,Gary11_Clark
300,Ian Clark\clarkia01,IanClark
301,Keydren Clark\clarkke03,KeydrenClark
302,Brandon Clarke\clarkbr01,brandonclarke23
303,Jordan Clarkson\clarkjo01,JordanClarksons
304,Gian Clavell\clavegi01,clavelito04
305,Victor Claver\clavevi01,Victor_Claver
306,Nicolas Claxton\claxtni01,_claxton33
307,Speedy Claxton\claxtsp01,speeddeamon
308,Mateen Cleaves\cleavma01,Mateen_Cleaves
