,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY,NAME
0,2019-20,30.0,TOT,NBA,SF,68.0,21.0,24.8,2.9,7.9,0.375,1.2,3.6,0.344,1.7,4.3,0.4,0.45299999999999996,1.7,2.2,0.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8,19269662,Kent Bazemore
1,2019-20,33.0,SAS,NBA,SG,57.0,0.0,15.5,2.2,5.5,0.392,1.2,3.1,0.376,1.0,2.4,0.41200000000000003,0.498,0.8,1.0,0.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,5846154,Marco Belinelli
2,2019-20,25.0,ATL,NBA,SG,43.0,4.0,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8,2603982,DeAndre' Bembry
3,2019-20,25.0,DAL,NBA,SG,11.0,0.0,4.2,0.4,1.3,0.28600000000000003,0.0,0.3,0.0,0.4,1.0,0.364,0.28600000000000003,0.3,0.5,0.6,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,1.0,850000,Antonius Cleveland
4,2019-20,22.0,ATL,NBA,PF,41,41,33.2,8.6,14.8,0.583,1.4,3.6,0.401,7.2,11.2,0.642,0.632,2.9,3.7,0.8,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,2686560,John Collins
5,2019-20,30.0,TOT,NBA,C,44.0,18.0,17.6,2.3,5.8,0.4,0.5,2.4,0.20600000000000002,1.8,3.4,0.541,0.44299999999999995,0.7,0.8,0.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8,13333334,Dewayne Dedmon
6,2019-20,32.0,MIL,NBA,PF,63,8,15.7,2.3,5.0,.466,0.8,2.2,.365,1.5,2.8,.545,.546,1.1,1.4,.828,1.0,3.8,4.8,0.8,0.4,0.3,0.5,1.5,6.6,7000000,Ersan İlyasova
7,2019-20,27.0,GSW,NBA,SG,49.0,36.0,29.0,4.3,10.4,0.41700000000000004,1.7,4.9,0.35600000000000004,2.6,5.6,0.47100000000000003,0.5,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7,842327,Damion Lee
8,2019-20,30.0,ORL,NBA,PG,8.0,0.0,4.8,0.6,1.9,0.33299999999999996,0.1,0.5,0.25,0.5,1.4,0.364,0.36700000000000005,0.1,0.3,0.5,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,81678,Josh Magette
9,2019-20,28.0,OKC,NBA,C,47.0,2.0,12.2,1.6,4.0,0.40700000000000003,1.1,3.0,0.37799999999999995,0.5,1.0,0.5,0.55,0.4,0.5,0.818,0.3,2.0,2.3,0.9,0.2,0.3,0.4,1.2,4.8,2028594,Mike Muscala
10,2019-20,25.0,BRK,NBA,PF,64.0,61.0,29.0,4.3,11.5,0.376,2.3,6.7,0.33899999999999997,2.1,4.8,0.429,0.475,1.1,1.4,0.7979999999999999,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1,3481986,Taurean Prince
11,2019-20,26.0,OKC,NBA,PG,65.0,2.0,30.8,7.0,14.8,0.469,1.9,5.0,0.385,5.0,9.8,0.513,0.534,3.0,3.6,0.8390000000000001,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9,15500000,Dennis Schröder
12,2019-20,27.0,NYK,NBA,PG,10.0,0.0,11.7,1.9,4.4,0.43200000000000005,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,893310,Kadeem Allen
13,2019-20,33.0,PHO,NBA,C,42.0,28.0,22.2,4.4,9.1,0.48,1.4,4.0,0.35100000000000003,3.0,5.1,0.5820000000000001,0.5579999999999999,1.3,1.8,0.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,5453280,Aron Baynes
14,2019-20,23.0,BOS,NBA,SG,57,57,33.9,7.5,15.6,0.48100000000000004,2.3,5.9,0.382,5.2,9.6,0.5429999999999999,0.5539999999999999,3.1,4.3,0.7240000000000001,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3,6534829,Jaylen Brown
15,2019-20,29.0,BOS,NBA,SF,52.0,52.0,33.5,6.7,13.5,0.5,1.6,4.3,0.38299999999999995,5.1,9.2,0.5539999999999999,0.561,2.4,2.8,0.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5,32700690,Gordon Hayward
16,2019-20,33.0,PHI,NBA,C,67.0,61.0,30.2,4.8,10.6,0.45,1.5,4.2,0.35,3.3,6.4,0.516,0.52,0.9,1.2,0.763,1.5,5.3,6.8,4.0,0.8,0.9,1.2,2.1,11.9,28000000,Al Horford
17,2019-20,27.0,BRK,NBA,PG,20.0,20.0,32.9,10.0,20.8,0.478,2.8,7.1,0.39399999999999996,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,31742000,Kyrie Irving
18,2019-20,30.0,TOT,NBA,"PF,SF",62.0,62.0,31.2,5.7,13.1,0.43799999999999994,2.3,5.6,0.408,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1.0,4.1,5.0,1.4,0.8,0.5,1.6,2.9,16.7,15000000,Marcus Morris
19,2019-20,26.0,OKC,NBA,SF,55.0,6.0,15.8,2.2,4.8,0.46799999999999997,0.9,2.3,0.375,1.4,2.5,0.556,0.5589999999999999,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,1618520,Abdel Nader
20,2019-20,25.0,BOS,NBA,PF,69,6,14.7,1.2,2.8,0.408,0.7,1.8,0.37799999999999995,0.5,1.0,0.46399999999999997,0.531,0.4,0.5,0.875,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,3.4,1618520,Semi Ojeleye
21,2019-20,25.0,CHO,NBA,PG,63.0,63.0,34.3,6.3,14.9,0.423,2.7,6.7,0.40700000000000003,3.6,8.2,0.436,0.514,2.6,3.0,0.8740000000000001,0.8,3.6,4.4,4.1,1.0,0.2,2.2,2.0,18.0,19894737,Terry Rozier
