,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NAME,SALARY
0,2020-21,31.0,GSW,NBA,SF,61.0,12.0,18.9,2.4,5.6,0.433,1.1,2.7,0.40700000000000003,1.4,3.0,0.456,0.529,0.8,1.1,0.6809999999999999,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.3,6.7,Kent Bazemore,2320044
1,2020-21,26.0,TOR,NBA,SF,45.0,11.0,17.6,2.0,3.8,0.532,0.2,0.8,0.257,1.8,3.0,0.603,0.5579999999999999,0.8,1.2,0.685,0.6,2.1,2.7,1.9,0.8,0.3,1.3,1.5,5.1,DeAndre' Bembry,1737145
2,2020-21,23.0,ATL,NBA,PF,58,58,29.6,6.8,12.3,0.5529999999999999,1.3,3.3,0.384,5.6,9.0,0.615,0.604,2.6,3.1,0.833,1.9,5.6,7.5,1.3,0.6,1.0,1.3,3.1,17.5,John Collins,4137302
3,2020-21,31.0,MIA,NBA,C,11.0,0.0,13.2,3.2,4.3,0.745,0.0,0.3,0.0,3.2,4.0,0.795,0.745,1.7,2.0,0.8640000000000001,2.1,3.8,5.9,0.6,0.6,0.5,0.8,1.8,8.1,Dewayne Dedmon,3447478
4,2020-21,31.0,MIA,NBA,C,11.0,0.0,13.2,3.2,4.3,0.745,0.0,0.3,0.0,3.2,4.0,0.795,0.745,1.7,2.0,0.8640000000000001,2.1,3.8,5.9,0.6,0.6,0.5,0.8,1.8,8.1,Dewayne Dedmon,3447478
5,2020-21,33.0,UTA,NBA,PF,15,1,9.1,1.3,3.1,.435,1.1,2.5,.459,0.2,0.6,.333,.620,0.2,0.2,1.000,0.3,1.4,1.7,0.3,0.7,0.2,0.5,1.8,4.0,Ersan İlyasova,1194542
6,2020-21,28.0,GSW,NBA,SG,57.0,1.0,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5,Damion Lee,1762796
7,2020-21,29.0,OKC,NBA,C,35.0,0.0,18.4,3.4,7.6,0.446,1.9,5.3,0.37,1.5,2.4,0.614,0.573,0.9,1.0,0.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7,Mike Muscala,2283034
8,2020-21,26.0,TOT,NBA,PF,41.0,10.0,22.1,3.2,8.0,0.401,1.5,3.8,0.4,1.7,4.2,0.401,0.495,1.6,1.9,0.855,0.5,3.0,3.5,1.9,0.7,0.6,1.1,1.8,9.5,Taurean Prince,13942308
9,2020-21,27.0,LAL,NBA,SG,59.0,59.0,32.2,5.5,12.5,0.43799999999999994,1.1,3.4,0.335,4.4,9.2,0.47600000000000003,0.483,3.4,4.0,0.8440000000000001,0.5,3.0,3.5,5.8,1.2,0.2,2.7,2.6,15.5,Dennis Schröder,15500000
10,2020-21,34.0,TOR,NBA,C,50.0,31.0,18.2,2.4,5.6,0.431,0.4,1.9,0.237,2.0,3.8,0.527,0.47,0.5,0.7,0.73,1.7,3.4,5.1,0.9,0.3,0.4,0.9,2.3,5.8,Aron Baynes,6975610
11,2020-21,24.0,BOS,NBA,SG,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.5579999999999999,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,Jaylen Brown,22991071
12,2020-21,30.0,CHO,NBA,SF,44.0,44.0,34.0,7.1,15.0,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,Gordon Hayward,28500000
13,2020-21,34.0,OKC,NBA,C,28.0,28.0,27.9,5.8,12.9,0.45,2.0,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,Al Horford,27500000
14,2020-21,28.0,BRK,NBA,PG,49.0,49.0,35.3,10.2,20.4,0.5,2.7,7.0,0.385,7.5,13.4,0.561,0.5660000000000001,3.9,4.2,0.922,1.1,3.9,4.9,6.3,1.4,0.6,2.5,2.6,27.0,Kyrie Irving,33329100
15,2020-21,31.0,LAC,NBA,PF,52.0,24.0,26.7,5.0,10.5,0.47200000000000003,2.6,5.4,0.473,2.4,5.1,0.47,0.593,1.2,1.5,0.818,0.6,3.6,4.2,1.1,0.6,0.3,0.9,2.2,13.7,Marcus Morris,14883721
16,2020-21,27.0,PHO,NBA,SF,24.0,0.0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3.0,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,Abdel Nader,1752950
17,2020-21,26.0,BOS,NBA,PF,52,13,17.3,1.6,4.0,0.402,1.1,2.9,0.38,0.5,1.1,0.45799999999999996,0.5379999999999999,0.5,0.6,0.75,0.6,2.1,2.6,0.7,0.3,0.0,0.4,1.0,4.8,Semi Ojeleye,1752950
